"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"2391",111,3559269,10676237,3333823,1e+07,5262,145,26,5.4,5977,0,0,0,3,7
"2392",95,116313715,166089215,84037039,1.2e+08,15237,435,52,6.8,83940,0,2,0,14,18
"2393",128,32848798,88278511,22326247,6e+07,3821,161,40,5.9,11927,0,0,0,0,20
"2394",109,25071864,25101895,19976073,2e+07,3148,372,54,6.3,68644,0,1,0,2,14
"2395",139,225475998,76361371,147637474,5e+07,1474,626,67,7.7,241445,2,35,0,49,22
"2396",93,21948017,5177075,21197315,5e+06,1410,407,38,6.2,58971,0,1,0,6,5
"2397",120,31148224,142737957,24004159,1.1e+08,3175,379,49,5.8,74926,0,2,0,2,15
"2398",88,20093713,22712473,11501093,1.3e+07,3913,825,57,7.6,142064,0,10,0,7,27
"2399",88,18268146,30848944,15988876,2.7e+07,137712,217,50,5.7,27574,0,0,0,0,10
"2400",153,303126807,210532515,201573391,1.4e+08,26029,1338,42,6.6,350844,0,15,4,35,21
"2401",117,35844755,31633133,24362501,21500000,13576,746,65,7.2,74050,0,0,0,5,20
"2402",130,145217589,47509255,136019448,44500000,3133,1351,86,7.7,503024,3,94,0,152,7
"2403",95,103296205,40163031,82301521,3.2e+07,3558,224,27,4.6,24859,0,1,0,8,14
"2404",107,8453747,12811485,7918283,1.2e+07,2440,433,73,6.6,44862,0,4,0,4,7
"2405",103,99649416,58138638,53133888,3.1e+07,1440,210,67,6.4,54583,0,2,0,5,29
"2406",104,22610029,14590476,18595716,1.2e+07,3963,216,51,5.3,33445,0,1,0,5,13
"2407",86,6525794,886831,5518918,750000,3071,155,54,6.9,12566,0,0,0,0,12
"2408",86,19270207,5448588,17683670,5e+06,1520,551,24,5.2,49647,0,1,0,2,8
"2409",140,276759318,99720735,172071312,6.2e+07,17171,455,77,7.6,229470,2,24,0,49,24
"2410",139,61839167,48634921,50859889,4e+07,848,1326,68,7.8,256840,0,9,3,20,13
"2411",289,266053113,106353719,78800000,31500000,25313,1244,94,8.5,502433,2,18,0,31,40
"2412",114,27445223,33840096,18653615,2.3e+07,22040,139,59,6.2,15583,0,0,0,0,20
"2413",108,4267012,23979130,3203044,1.8e+07,14843,283,43,6.4,27039,0,0,0,0,16
"2414",156,111129157,80921969,75530832,5.5e+07,20761,623,52,6.8,102960,0,3,0,9,20
"2415",83,136314622,157899387,90646554,1.05e+08,25788,420,72,6.6,133008,0,6,0,13,21
"2416",117,28719705,17031684,21078145,12500000,20456,280,62,7.3,28834,0,19,0,22,17
"2417",117,186351921,134444365,180191634,1.3e+08,5730,1066,64,7.3,406126,0,3,0,32,4
"2418",109,15176691,41522304,10965209,3e+07,1297,344,31,6.1,26567,0,2,0,3,18
"2419",92,1434149,108972,1316074,1e+05,1303,470,66,7,80442,0,7,0,13,8
"2420",90,3560521,8273499,3442820,8e+06,1442,468,88,7.2,50493,0,24,1,72,4
"2421",93,158559472,16179538,39200000,4e+06,12691,645,92,8.1,219020,4,26,0,8,42
"2422",107,81367635,38332140,8e+06,3768785,731,111,77,7,3577,1,2,0,6,69
"2423",118,88953807,67301974,85911262,6.5e+07,4796,389,33,5.3,29004,0,3,0,13,5
"2424",99,87248039,6730197,84263837,6500000,2323,562,37,5.4,104982,0,3,0,7,5
"2425",148,57750519,110348139,39251128,7.5e+07,804,308,56,6.7,32756,0,0,2,0,20
"2426",109,532346503,11278528,141600000,3e+06,3468,351,79,7.6,98054,0,2,0,0,41
"2427",146,152389040,171383025,133375846,1.5e+08,16948,733,48,6.7,237298,0,1,0,5,10
"2428",145,19183892,36782713,13038660,2.5e+07,1282,262,54,7.3,18176,0,5,1,11,20
"2429",102,33279479,52594918,24044532,3.8e+07,1440,286,39,5.6,20428,0,3,0,5,18
"2430",94,15692513,18637470,15155772,1.8e+07,1673,155,38,5.8,10668,0,0,0,1,5
"2431",98,109177550,33738062,84136909,2.6e+07,656730,758,63,7.2,291445,0,1,0,13,15
"2432",143,2288888,52610568,2175312,5e+07,28176,618,61,6.3,144850,0,1,0,23,6
"2433",94,89034044,76361371,58297830,5e+07,6017,269,59,7.1,96763,0,10,2,21,22
"2434",103,156979815,44139256,106694016,3e+07,24333,482,61,6.7,132321,0,4,0,5,20
"2435",96,43767680,81752084,32122249,6e+07,22889,243,37,5.9,74560,0,1,0,0,17
"2436",97,40909208,32440445,31526393,2.5e+07,2730,238,40,4.6,24256,0,0,0,2,15
"2437",89,100121958,68725234,65557989,4.5e+07,3717,390,37,4.7,81347,0,6,0,10,22
"2438",108,10712955,37652842,8535575,3e+07,11519,259,49,7,25929,0,2,0,0,14
"2439",103,106871,19928455,75078,1.4e+07,1403,60,56,6.3,1449,0,0,0,1,19
"2440",83,7971378,13661863,7001720,1.2e+07,2907,250,20,4.3,8873,0,0,0,0,11
"2441",155,67465873,54980187,44175394,3.6e+07,37570,304,63,7.3,61920,0,9,4,38,22
"2442",102,129560208,66435686,93607673,4.8e+07,9176,485,44,5.7,50093,0,1,0,2,18
